microtrait_trait-name	microtrait_trait-displaynameshort	microtrait_trait-displaynamelong	microtrait_trait-strategy	microtrait_trait-type	microtrait_trait-granularity	microtrait_trait-version	microtrait_trait-displayorder
Resource Use:Phototrophy:photosystem:oxygenic:oxygenic photosystem I	Oxygenic photosystem I	Resource Use:Phototrophy:photosystem:oxygenic:oxygenic photosystem I	Resource Use	binary	3	production	131
Resource Use:Phototrophy:photosystem:oxygenic:oxygenic photosystem II	Oxygenic photosystem II	Resource Use:Phototrophy:photosystem:oxygenic:oxygenic photosystem II	Resource Use	binary	3	production	132
Resource Use:Phototrophy:photosystem:oxygenic:cytochrome b6f complex	Cytochrome b6f complex	Resource Use:Phototrophy:photosystem:oxygenic:cytochrome b6f complex	Resource Use	binary	3	production	133
Resource Use:Phototrophy:photosystem:oxygenic:photosynthetic electron transport	Photosynthetic electron transport	Resource Use:Phototrophy:photosystem:oxygenic:photosynthetic electron transport	Resource Use	binary	3	production	134
Resource Use:Phototrophy:photosystem:anoxygenic:anoxygenic photosystem I	Anoxygenic photosystem I	Resource Use:Phototrophy:photosystem:anoxygenic:anoxygenic photosystem I	Resource Use	binary	3	production	135
Resource Use:Phototrophy:photosystem:anoxygenic:anoxygenic photosystem II	Anoxygenic photosystem II	Resource Use:Phototrophy:photosystem:anoxygenic:anoxygenic photosystem II	Resource Use	binary	3	production	136
Resource Use:Phototrophy:pigments:core:chlorophyll a	Chlorophyll a	Resource Use:Phototrophy:pigments:core:chlorophyll a	Resource Use	binary	3	production	137
Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll a	Anoxygenic bacteriochlorophyll a	Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll a	Resource Use	binary	3	production	138
Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll b	Anoxygenic bacteriochlorophyll b	Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll b	Resource Use	binary	3	production	139
Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll c	Anoxygenic bacteriochlorophyll c	Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll c	Resource Use	binary	3	production	140
Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll d	Anoxygenic bacteriochlorophyll d	Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll d	Resource Use	binary	3	production	141
Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll e	Anoxygenic bacteriochlorophyll e	Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll e	Resource Use	binary	3	production	142
Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll g	Anoxygenic bacteriochlorophyll g	Resource Use:Phototrophy:pigments:core:anoxygenic:bacteriochlorophyll g	Resource Use	binary	3	production	143
Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:neurosporene	Neurosporene (carotene) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:neurosporene	Resource Use	binary	3	production	144
Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:lycopene	Lycopene (carotene) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:lycopene	Resource Use	binary	3	production	145
Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:gammacarotene	Gammacarotene (carotene) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:gammacarotene	Resource Use	binary	3	production	146
Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:chlorobactene	Chlorobactene (carotene) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:chlorobactene	Resource Use	binary	3	production	147
Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:betacarotene	Betacarotene (carotene) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:betacarotene	Resource Use	binary	3	production	148
Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:betaisorenieratene	Betaisorenieratene (carotene) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:betaisorenieratene	Resource Use	binary	3	production	149
Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:isorenieratene	Isorenieratene (carotene) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:isorenieratene	Resource Use	binary	3	production	150
Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:diaponeurosporene	Diaponeurosporene (carotene) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene:diaponeurosporene	Resource Use	binary	3	production	151
Resource Use:Phototrophy:pigments:accessory:carotenoid:xanthophyll:okenone	Okenone (xanthophyll) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:xanthophyll:okenone	Resource Use	binary	3	production	152
Resource Use:Phototrophy:pigments:accessory:carotenoid:xanthophyll:spirilloxanthin	Spirilloxanthin (xanthophyll) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:xanthophyll:spirilloxanthin	Resource Use	binary	3	production	153
Resource Use:Phototrophy:pigments:accessory:carotenoid:xanthophyll:spheroidenone	Spheroidenone (xanthophyll) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:xanthophyll:spheroidenone	Resource Use	binary	3	production	154
Resource Use:Phototrophy:pigments:accessory:carotenoid:xanthophyll:OH-spheroidenone	OH-spheroidenone (xanthophyll) synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:xanthophyll:OH-spheroidenone	Resource Use	binary	3	production	155
Resource Use:Phototrophy:pigments:accessory:phycobiliprotein:allophycocyanin	Allophycocyanin (phycobiliprotein) synthesis	Resource Use:Phototrophy:pigments:accessory:phycobiliprotein:allophycocyanin	Resource Use	binary	3	production	156
Resource Use:Phototrophy:pigments:accessory:phycobiliprotein:phycocyanin	Phycocyanin (phycobiliprotein) synthesis	Resource Use:Phototrophy:pigments:accessory:phycobiliprotein:phycocyanin	Resource Use	binary	3	production	157
Resource Use:Phototrophy:pigments:accessory:phycobiliprotein:phycoerythrocyanin	Phycoerythrocyanin (phycobiliprotein) synthesis	Resource Use:Phototrophy:pigments:accessory:phycobiliprotein:phycoerythrocyanin	Resource Use	binary	3	production	158
Resource Use:Phototrophy:pigments:accessory:phycobiliprotein:phycoerythrin	Phycoerythrin (phycobiliprotein) synthesis	Resource Use:Phototrophy:pigments:accessory:phycobiliprotein:phycoerythrin	Resource Use	binary	3	production	159
Resource Use:Phototrophy:pigments:accessory:phycobiliprotein:chlorophyll a/b binding light-harvesting protein	Chlorophyll a/b binding light-harvesting protein (phycobiliprotein) synthesis	Resource Use:Phototrophy:pigments:accessory:phycobiliprotein:chlorophyll a/b binding light-harvesting protein	Resource Use	binary	3	production	160
Stress Tolerance:General:scavenging of reactive oxygen species:ROS scavenging enzymes	General stress tolerance by scavenging of reactive oxygen species with ROS scavenging enzymes	Stress Tolerance:General:scavenging of reactive oxygen species:ROS scavenging enzymes	Stress Tolerance	count	3	production	161
Stress Tolerance:General:biofilm formation:EPS biosynthesis/export	General stress tolerance by biofilm formation with EPS biosynthesis/export	Stress Tolerance:General:biofilm formation:EPS biosynthesis/export	Stress Tolerance	count	3	production	162
Stress Tolerance:General:protection, repair, degradation of denatured/misfolded proteins:heat shock proteins	General stress tolerance by protection, repair, degradation of denatured/misfolded proteins with heat-shock proteins	Stress Tolerance:General:protection, repair, degradation of denatured/misfolded proteins:heat shock proteins	Stress Tolerance	count	3	production	163
Stress Tolerance:General:protection, repair, degradation of denatured/misfolded proteins:ATP-dependent proteases	General stress tolerance by protection, repair, degradation of denatured/misfolded proteins with ATP-dependent proteases	Stress Tolerance:General:protection, repair, degradation of denatured/misfolded proteins:ATP-dependent proteases	Stress Tolerance	count	3	production	164
Stress Tolerance:Specific:temperature:high:protection, repair, degradation of denatured/misfolded proteins:heat shock proteins	High temperature  tolerance  by protection, repair, degradation of denatured/misfolded proteins with heat-shock proteins	Stress Tolerance:Specific:temperature:high:protection, repair, degradation of denatured/misfolded proteins:heat shock proteins	Stress Tolerance	count	3	production	165
Stress Tolerance:Specific:temperature:high:protection, repair, degradation of denatured/misfolded proteins:ATP-dependent proteases	High temperature  tolerance  by protection, repair, degradation of denatured/misfolded proteins with ATP-dependent proteases	Stress Tolerance:Specific:temperature:high:protection, repair, degradation of denatured/misfolded proteins:ATP-dependent proteases	Stress Tolerance	count	3	production	166
Stress Tolerance:Specific:temperature:high:heat-induced transcriptional regulation:heat induced transcription factor	High temperature  tolerance  by heat-induced transcriptional regulation with heat induced transcription factors	Stress Tolerance:Specific:temperature:high:heat-induced transcriptional regulation:heat induced transcription factor	Stress Tolerance	count	3	production	167
Stress Tolerance:Specific:temperature:low:membrane stabilization:fatty acid desaturase	Low temperature  tolerance by membrane stabilization with fatty acid desaturase	Stress Tolerance:Specific:temperature:low:membrane stabilization:fatty acid desaturase	Stress Tolerance	count	3	production	168
Stress Tolerance:Specific:temperature:low:destabilization of secondary structures in mRNAs:mRNA chaperone	Low temperature  tolerance by destabilization of secondary structures in mRNAs with mRNA chaperone	Stress Tolerance:Specific:temperature:low:destabilization of secondary structures in mRNAs:mRNA chaperone	Stress Tolerance	count	3	production	169
Stress Tolerance:Specific:temperature:low:destabilization of secondary structures in mRNAs:mRNA stabilization	Low temperature  tolerance by destabilization of secondary structures in mRNAs with mRNA stabilization	Stress Tolerance:Specific:temperature:low:destabilization of secondary structures in mRNAs:mRNA stabilization	Stress Tolerance	count	3	production	170
Stress Tolerance:Specific:temperature:low:destabilization of secondary structures in mRNAs:RNA degradation	Low temperature  tolerance by destabilization of secondary structures in mRNAs with rna degradation	Stress Tolerance:Specific:temperature:low:destabilization of secondary structures in mRNAs:RNA degradation	Stress Tolerance	count	3	production	171
Stress Tolerance:Specific:temperature:low:cold-sensing machinery:cold sensing two-component system	Low temperature tolerance by cold-sensing machinery with cold sensing two-component system	Stress Tolerance:Specific:temperature:low:cold-sensing machinery:cold sensing two-component system	Stress Tolerance	count	3	production	172
Stress Tolerance:Specific:desiccation/osmotic/salt stress:accumulation of compatible solutes:transport of compatible solutes	Desiccation/osmotic/salt stress tolerance by accumulation of compatible solutes with transport of compatible solutes	Stress Tolerance:Specific:desiccation/osmotic/salt stress:accumulation of compatible solutes:transport of compatible solutes	Stress Tolerance	count	3	production	173
Stress Tolerance:Specific:desiccation/osmotic/salt stress:accumulation of compatible solutes:synthesis of compatible solutes	Desiccation/osmotic/salt stress tolerance by accumulation of compatible solutes with synthesis of compatible solutes	Stress Tolerance:Specific:desiccation/osmotic/salt stress:accumulation of compatible solutes:synthesis of compatible solutes	Stress Tolerance	count	3	production	174
Stress Tolerance:Specific:desiccation/osmotic/salt stress:enhancement of microenvironment:EPS biosynthesis/export	Desiccation/osmotic/salt stress tolerance by enhancement of microenvironment with EPS biosynthesis	Stress Tolerance:Specific:desiccation/osmotic/salt stress:enhancement of microenvironment:EPS biosynthesis/export	Stress Tolerance	count	3	production	175
Stress Tolerance:Specific:desiccation/osmotic/salt stress:osmotic sensing:two-component systems, osmotic sensors salt/potassium sensors	Desiccation/osmotic/salt stress tolerance by osmotic sensing with salt/potassium sensors	Stress Tolerance:Specific:desiccation/osmotic/salt stress:osmotic sensing:two-component systems, osmotic sensors salt/potassium sensors	Stress Tolerance	count	3	production	176
Stress Tolerance:Specific:pH stress:protection, repair, degradation of denatured/misfolded proteins:periplasmic acid resistance protein	pH stress tolerance by protection, repair, degradation of denatured/misfolded proteins with periplasmic acid resistance protein	Stress Tolerance:Specific:pH stress:protection, repair, degradation of denatured/misfolded proteins:periplasmic acid resistance protein	Stress Tolerance	count	3	production	177
Stress Tolerance:Specific:pH stress:protection, repair, degradation of denatured/misfolded proteins:ATP-dependent proteases	pH stress tolerance by protection, repair, degradation of denatured/misfolded proteins with ATP-dependent proteases	Stress Tolerance:Specific:pH stress:protection, repair, degradation of denatured/misfolded proteins:ATP-dependent proteases	Stress Tolerance	count	3	production	178
Stress Tolerance:Specific:pH stress:membrane stabilization:cyclopropane fatty acid (CFA) synthase	pH stress tolerance by membrane stabilization with cyclopropane fatty acid (CFA) synthase	Stress Tolerance:Specific:pH stress:membrane stabilization:cyclopropane fatty acid (CFA) synthase	Stress Tolerance	count	3	production	179
Stress Tolerance:Specific:pH stress:redox sensing:redox sensing two component systems	pH stress tolerance by redox sensing with redox sensing two component systems	Stress Tolerance:Specific:pH stress:redox sensing:redox sensing two component systems	Stress Tolerance	count	3	production	180
Stress Tolerance:Specific:pH stress:redox sensing:redox sensitive transcription factor	pH stress tolerance by redox sensing with redox sensitive transcription factor	Stress Tolerance:Specific:pH stress:redox sensing:redox sensitive transcription factor	Stress Tolerance	count	3	production	181
Stress Tolerance:Specific:pH stress:consumption of excessive cytoplasmic protons:urease system	pH stress tolerance by consumption of excessive cytoplasmic protons with urease system	Stress Tolerance:Specific:pH stress:consumption of excessive cytoplasmic protons:urease system	Stress Tolerance	count	3	production	182
Stress Tolerance:Specific:pH stress:consumption of excessive cytoplasmic protons:decarboxylase and antiporter systems	pH stress tolerance by consumption of excessive cytoplasmic protons with decarboxylase and antiporter systems	Stress Tolerance:Specific:pH stress:consumption of excessive cytoplasmic protons:decarboxylase and antiporter systems	Stress Tolerance	count	3	production	183
Stress Tolerance:Specific:oxidative stress:scavenging of reactive oxygen species:ROS scavenging enzymes	Oxidative stress tolerance by scavenging of reactive oxygen species with ROS scavenging enzymes	Stress Tolerance:Specific:oxidative stress:scavenging of reactive oxygen species:ROS scavenging enzymes	Stress Tolerance	count	3	production	184
Stress Tolerance:Specific:oxidative stress:redox sensing:redox sensing two component systems	Oxidative stress tolerance by redox sensing with redox sensing two component systems	Stress Tolerance:Specific:oxidative stress:redox sensing:redox sensing two component systems	Stress Tolerance	count	3	production	185
Stress Tolerance:Specific:oxygen limitation:redox sensing:redox sensing two component systems	Oxygen limitation tolerance by redox sensing with redox sensing two component systems	Stress Tolerance:Specific:oxygen limitation:redox sensing:redox sensing two component systems	Stress Tolerance	count	3	production	186
Stress Tolerance:Specific:oxygen limitation:oxygen sensing:oxygen sensing two component systems	Oxygen limitation tolerance by oxygen sensing with oxygen sensing two component systems	Stress Tolerance:Specific:oxygen limitation:oxygen sensing:oxygen sensing two component systems	Stress Tolerance	count	3	production	187
Stress Tolerance:Specific:envelope stress:misfolded protein/secretion stress sensing:misfolded proteins/secretion stress two component systems	Envelope stress tolerance by misfolded protein/secretion stress sensing with misfolded proteins/secretion stress two component systems	Stress Tolerance:Specific:envelope stress:misfolded protein/secretion stress sensing:misfolded proteins/secretion stress two component systems	Stress Tolerance	count	3	production	188
Stress Tolerance:Specific:envelope stress:phage resistance:phage-shock system	Envelope stress tolerance by phage resistance with phage-shock system	Stress Tolerance:Specific:envelope stress:phage resistance:phage-shock system	Stress Tolerance	count	3	production	189
