faprotax_taxa	ncbi_taxa	rank
Porphyrobacter sanguineus	Erythrobacter sanguineus	species
Porphyrobacter tepidarius	Erythrobacter tepidarius	species
Prevotella heparinolyticus	Bacteroides heparinolyticus	species
Prevotella zoogleoformans	Bacteroides zoogleoformans	species
Propionibacterium acnes	Cutibacterium acnes	species
Propionibacterium microaerophilum	Acidipropionibacterium microaerophilum	species
Pseudomonas acidovorans	Delftia acidovorans	species
Pseudomonas aureofaciens	Pseudomonas chlororaphis subsp. aureofaciens	species
Pseudomonas beteli	Stenotrophomonas maltophilia	species
Pseudomonas cattleyae	Acidovorax cattleyae	species
Pseudomonas cepacia	Burkholderia cepacia	species
Pseudomonas cissicola	[Pseudomonas] cissicola	species
Pseudomonas flectens	Phaseolibacter flectens	species
Pseudomonas halophila	Halomonas utahensis	species
Pseudomonas hibiscicola	[Pseudomonas] hibiscicola	species
Pseudomonas methanica	Methylomonas methanica	species
Pseudomonas multivorans	Burkholderia cepacia	species
Pseudomonas nautica	Marinobacter hydrocarbonoclasticus	species
Pseudomonas ovalis	Pseudomonas putida	species
Pseudomonas paucimobilis	Sphingomonas paucimobilis	species
Pseudomonas perfectomarinus	Pseudomonas stutzeri	species
Pseudomonas pseudoalcaligenes	Pseudomonas oleovorans	species
Pseudomonas pseudoflava	Hydrogenophaga pseudoflava	species
Pseudomonas putrefaciens	Shewanella putrefaciens	species
Pseudomonas saccharophila	Pelomonas saccharophila	species
Pseudomonas solanacearum	Ralstonia solanacearum	species
Pseudomonas syzygii	Ralstonia syzygii	species
Pseudomonas testosteroni	Comamonas testosteroni	species
Ralstonia eutropha	Cupriavidus necator	species
Ralstonia paucula	Cupriavidus pauculus	species
Rheinheimera texasensis	Pararheinheimera texasensis	species
Rhizobium fredii	Sinorhizobium fredii	species
Rhizobium galegae	Neorhizobium galegae	species
Rhizobium huautlense	Neorhizobium huautlense	species
Rhizomonas suberifaciens	Rhizorhapis suberifaciens	species
Rhodobacter azotoformans	Cereibacter azotoformans	species
Rhodobacter changlensis	Cereibacter changlensis	species
Rhodobacter sphaeroides	Cereibacter sphaeroides	species
Rhodobacter veldkampii	Bieblia veldkampii	species
Rhodobium marinum	Afifella marina	species
Rhodococcus rubropertinctus	Gordonia rubripertincta	species
Rhodopseudomonas cryptolactis	Rhodoplanes tepidamans	species
Rhodopseudomonas sphaeroides	Cereibacter sphaeroides	species
Rhodospirillum photometricum	Pararhodospirillum photometricum	species
Roseobacter algicola	Marinovum algicola	species
Ruegeria gelatinovorans	Thalassobius gelatinovorus	species
Ruegeria mobilis	Epibacterium mobile	species
Ruegeria pelagia	Epibacterium mobile	species
Ruminococcus gnavus	[Ruminococcus] gnavus	species
Ruminococcus hydrogenotrophicus	Blautia hydrogenotrophica	species
Ruminococcus lactaris	[Ruminococcus] lactaris	species
Ruminococcus obeum	Blautia obeum	species
Ruminococcus torques	[Ruminococcus] torques	species
Saccharomonospora paurometabolica	Saccharomonospora iraqiensis subsp. paurometabolica	species
Salmonella enteritidis	Salmonella enterica subsp. enterica serovar Enteritidis	species
Schineria larvae	Ignatzschineria larvae	species
Sejongia antarctica	Kaistella antarctica	species
Sejongia jeonii	Kaistella jeonii	species
Shewanella alga	Shewanella algae	species
Silicibacter lacuscaerulensis	Ruegeria lacuscaerulensis	species
Sphingobacterium antarcticum	Pedobacter antarcticus	species
Sphingomonas chungbukensis	Sphingobium chungbukense	species
Sphingomonas natatoria	Blastomonas natatoria	species
Sphingomonas xenophaga	Sphingobium xenophagum	species
Sphingomonas yanoikuyae	Sphingobium yanoikuyae	species
Spirochaeta alkalica	Alkalispirochaeta alkalica	species
Spirochaeta americana	Alkalispirochaeta americana	species
Spirochaeta bajacaliforniensis	Sediminispirochaeta bajacaliforniensis	species
Spirochaeta caldaria	Treponema caldarium	species
Spirochaeta coccoides	Sphaerochaeta coccoides	species
Spirochaeta cytophaga	Sporocytophaga myxococcoides	species
Spirochaeta litoralis	Oceanispirochaeta litoralis	species
Spirochaeta smaragdinae	Sediminispirochaeta smaragdinae	species
Spirochaeta stenostrepta	Treponema stenostreptum	species
Spirochaeta zuelzerae	Treponema zuelzerae	species
Staleya guttiformis	Sulfitobacter guttiformis	species
Staphylococcus fleurettii	Mammaliicoccus fleurettii	species
Staphylococcus lentus	Mammaliicoccus lentus	species
Staphylococcus sciuri	Mammaliicoccus sciuri	species
Streptococcus bovis	Streptococcus equinus	species
Streptococcus cremoris	Lactococcus cremoris	species
Streptococcus diacetilactis	Lactococcus lactis subsp. lactis	species
Streptococcus difficile	Streptococcus agalactiae	species
Streptococcus shiloi	Streptococcus iniae	species
Streptococcus tigurinus	Streptococcus oralis subsp. tigurinus	species
Streptococcus zooepidemicus	Streptococcus equi subsp. zooepidemicus	species
Streptomyces emeiensis	Streptomyces prasinopilosus	species
Streptomyces scabies	Streptomyces scabiei	species
Streptomyces setonii	Streptomyces griseus	species
Sulfobacillus disulfidooxidans	Alicyclobacillus disulfidooxidans	species
Sulfolobus metallicus	Sulfuracidifex metallicus	species
Sulfolobus solfataricus	Saccharolobus solfataricus	species
Sulfolobus tokodaii	Sulfurisphaera tokodaii	species
Syntrophospora bryantii	Syntrophomonas bryantii	species
Tetrasphaera elongata	Phycicoccus elongatus	species
Thermoanaerobacterium zeae	Caldanaerobius zeae	species
Thermococcus kodakaraensis	Thermococcus kodakarensis	species
Thermodesulfobacterium mobile	Thermodesulfobacterium thermophilum	species
Thermodesulforhabdus norvegicus	Thermodesulforhabdus norvegica	species
Thermomonospora chromogena	Thermostaphylospora chromogena	species
Thermomonospora fusca	Thermobifida fusca	species
Thermomonospora mesophila	Sphaerimonospora mesophila	species
Thermonospora fusca	Thermobifida fusca	species
Thermoterrabacterium ferrireducens	Carboxydothermus ferrireducens	species
Thermotoga hypogea	Pseudothermotoga hypogea	species
Thialkalivibrio halophilus	Thioalkalivibrio halophilus	species
Thialkalivibrio nitratireducens	Thioalkalivibrio nitratireducens	species
Thioalkalimicrobium microaerophilum	Thiomicrospira microaerophila	species
Thiobacillus aquaesulis	Annwoodia aquaesulis	species
Thiobacillus caldus	Acidithiobacillus caldus	species
Thiobacillus delicatus	Thiomonas delicata	species
Thiobacillus ferrooxidans	Acidithiobacillus ferrooxidans	species
Thiobacillus intermedius	Thiomonas intermedia	species
Thiobacillus novellus	Starkeya novella	species
Thiobacillus prosperus	Acidihalobacter prosperus	species
Thiobacillus tepidarius	Thermithiobacillus tepidarius	species
Thiobacillus thiooxidans	Acidithiobacillus thiooxidans	species
Thiobacillus versutus	Paracoccus versutus	species
Thiomicrospira denitrificans	Sulfurimonas denitrificans	species
Thiomonas arsenivorans	Thiomonas delicata	species
Thiosphaera pantotropha	Paracoccus pantotrophus	species
Tropicibacter phthalicus	Tropicibacter phthalicicus	species
Vibrio carchariae	Vibrio harveyi	species
Vibrio comma	Vibrio cholerae	species
Vibrio damsela	Photobacterium damselae subsp. damselae	species
Vibrio fischeri	Aliivibrio fischeri	species
Vibrio hollisae	Grimontia hollisae	species
Vibrio succinogenes	Wolinella succinogenes	species
Vibrio trachuri	Vibrio harveyi	species
Wautersia eutropha	Cupriavidus necator	species
Wautersiella falsenii	Empedobacter falsenii	species
Xanthomonas cynarae	Xanthomonas hortorum pv. cynarae	species
Xanthomonas fuscans	Xanthomonas citri pv. fuscans	species
Xanthomonas gardneri	Xanthomonas hortorum pv. gardneri	species
Xanthomonas maltophilia	Stenotrophomonas maltophilia	species
Acanthopleuribacteraceae Acanthopleuribacter	Acanthopleuribacter	genus
Acetobacteraceae Acetobacter	Acetobacter	genus
Acetobacteraceae Acidicaldus	Acidicaldus	genus
Acetobacteraceae Acidiphilium	Acidiphilium	genus
Acetobacteraceae Acidisphaera	Acidisphaera	genus
Acetobacteraceae Acidocella	Acidocella	genus
Acetobacteraceae Acidomonas	Acidomonas	genus
Acetobacteraceae Craurococcus	Craurococcus	genus
Acetobacteraceae Gluconacetobacter	Gluconacetobacter	genus
Acetobacteraceae Gluconobacter	Gluconobacter	genus
Acetobacteraceae Paracraurococcus	Paracraurococcus	genus
Acetobacteraceae Rhodopila	Rhodopila	genus
Acetobacteraceae Roseococcus	Roseococcus	genus
Acetobacteraceae Roseomonas	Roseomonas	genus
Acidaminococcaceae Phascolarctobacterium	Phascolarctobacterium	genus
Acidimicrobiaceae Ferrimicrobium	Ferrimicrobium	genus
Acidobacteria Bryobacter	Bryobacter	genus
Acidobacteriaceae Edaphobacter	Edaphobacter	genus
Acidobacteriaceae Terriglobus	Terriglobus	genus
Acidobacteriales Acidicapsa	Acidicapsa	genus
Acidobacteriales Granulicella	Granulicella	genus
Acidothermaceae Acidothermus	Acidothermus	genus
Actinobacteria Rubrobacter	Rubrobacter	genus
Actinobacteria Streptoalloteichus	Streptoalloteichus	genus
Actinobacteria Virgisporangium	Virgisporangium	genus
Actinomycetaceae Actinomyces	Actinomyces	genus
Actinomycetaceae Arcanobacterium	Arcanobacterium	genus
Actinospicaceae Actinospica	Actinospica	genus
Aerococcaceae Abiotrophia	Abiotrophia	genus
Aeromonadaceae Aeromonas	Aeromonas	genus
Aeromonadaceae Tolumonas	Tolumonas	genus
Alcaligenaceae Alcaligenes	Alcaligenes	genus
Alicyclobacillaceae Alicyclobacillus	Alicyclobacillus	genus
Alphaproteobacteria Elstera	Elstera	genus
Alphaproteobacteria Rhodobium	Rhodobium	genus
Alphaproteobacteria Rhodothalassium	Rhodothalassium	genus
Alphaproteobacteria Stappia	Stappia	genus
Alphaproteobacteria Thalassospira	Thalassospira	genus
Alteromonadaceae Alishewanella	Alishewanella	genus
Alteromonadaceae Marinobacterium	Marinobacterium	genus
Alteromonadales Colwellia	Colwellia	genus
Alteromonadales Marinobacter	Marinobacter	genus
Anaerolineaceae Thermomarinilinea	Thermomarinilinea	genus
Anaeroplasmataceae Anaeroplasma	Anaeroplasma	genus
Anaplasmataceae Aegyptianella	Aegyptianella	genus
Aquaspirillaceae Microvirgula	Microvirgula	genus
Aquificaceae Aquifex	Aquifex	genus
Aquificae Hydrogenobacter	Hydrogenobacter	genus
Aquificales Hydrogenobacter	Hydrogenobacter	genus
Archaea Methanomassiliicoccales	Methanomassiliicoccales	order
Archaea Thaumarchaeota	Thaumarchaeota	phylum
Archaeoglobaceae Archaeoglobus	Archaeoglobus	genus
Archaeoglobaceae Ferroglobus	Ferroglobus	genus
Azospirillaceae Azospirillum	Azospirillum	genus
Azospirillales Skermanella	Skermanella	genus
Bacillaceae Anoxybacillus	Anoxybacillus	genus
Bacillaceae Geobacillus	Geobacillus	genus
Bacillaceae Marinococcus	Marinococcus	genus
Bacillaceae Thalassobacillus	Thalassobacillus	genus
Bacteria Ignavibacteriae	Ignavibacteriae	phylum
Bacteria Thermodesulfobacteria	Thermodesulfobacteria	phylum
Bacteroidaceae Acetofilamentum	Acetofilamentum	genus
Bacteroidaceae Acetomicrobium	Acetomicrobium	genus
Bacteroidaceae Acetothermus	Acetothermus	genus
Bacteroidaceae Bacteroides	Bacteroides	genus
Bacteroidales Dysgonomonas	Dysgonomonas	genus
Bacteroidales Paludibacter	Paludibacter	genus
Bacteroidales Parabacteroides	Parabacteroides	genus
Bacteroidales Petrimonas	Petrimonas	genus
Bacteroidales Porphyromonas	Porphyromonas	genus
Bacteroidetes Adhaeribacter	Adhaeribacter	genus
Bacteroidetes Dyadobacter	Dyadobacter	genus
Bacteroidetes Gracilimonas	Gracilimonas	genus
Bacteroidetes Persicobacter	Persicobacter	genus
Bacteroidetes Roseivirga	Roseivirga	genus
Bacteroidia Brumimicrobium	Brumimicrobium	genus
Barnesiellaceae Barnesiella	Barnesiella	genus
Beggiatoaceae Beggiatoa	Beggiatoa	genus
Beijerinckiaceae Beijerinckia	Beijerinckia	genus
Beijerinckiaceae Chelatococcus	Chelatococcus	genus
Beijerinckiaceae Methylocapsa	Methylocapsa	genus
Beijerinckiaceae Methylocella	Methylocella	genus
Betaproteobacteriales Derxia	Derxia	genus
Betaproteobacteriales Hydrogenophaga	Hydrogenophaga	genus
Betaproteobacteriales Nitrosomonadaceae	Nitrosomonadaceae	family
Betaproteobacteriales Thiomonas	Thiomonas	genus
Bifidobacteriaceae Bifidobacterium	Bifidobacterium	genus
Bifidobacteriaceae Gardnerella	Gardnerella	genus
Bifidobacteriaceae Scardovia	Scardovia	genus
Blattabacteriaceae Blattabacterium	Blattabacterium	genus
Bogoriellaceae Georgenia	Georgenia	genus
Bradyrhizobiaceae Blastobacter	Blastobacter	genus
Brevibacteriaceae Brevibacterium	Brevibacterium	genus
Brocadiales Candidatus Scalindua	Candidatus Scalindua	genus
Burkholderiaceae Cupriavidus	Cupriavidus	genus
Burkholderiaceae Lautropia	Lautropia	genus
Burkholderiaceae Thermothrix	Thermothrix	genus
Campylobacteraceae Campylobacter	Campylobacter	genus
Campylobacteria Sulfurospirillum	Sulfurospirillum	genus
Cardiobacteriaceae Cardiobacterium	Cardiobacterium	genus
Cardiobacteriaceae Suttonella	Suttonella	genus
Carnobacteriaceae Atopostipes	Atopostipes	genus
Carnobacteriaceae Desemzia	Desemzia	genus
Carnobacteriaceae Trichococcus	Trichococcus	genus
Cellulomonadaceae Cellulomonas	Cellulomonas	genus
Cellulomonadaceae Oerskovia	Oerskovia	genus
Chitinophagaceae Ferruginibacter	Ferruginibacter	genus
Chlorobi Chlorobiaceae	Chlorobiaceae	family
Chlorobia Ancalochloris	Ancalochloris	genus
Chlorobia Chlorobium	Chlorobium	genus
Chlorobia Chloroherpeton	Chloroherpeton	genus
Chlorobia Pelodictyon	Pelodictyon	genus
Chlorobia Prosthecochloris	Prosthecochloris	genus
Chromatiaceae Allochromatium	Allochromatium	genus
Chromatiaceae Chromatium	Chromatium	genus
Chromatiaceae Halochromatium	Halochromatium	genus
Chromatiaceae Isochromatium	Isochromatium	genus
Chromatiaceae Lamprobacter	Lamprobacter	genus
Chromatiaceae Lamprocystis	Lamprocystis	genus
Chromatiaceae Marichromatium	Marichromatium	genus
Chromatiaceae Rhabdochromatium	Rhabdochromatium	genus
Chromatiaceae Thermochromatium	Thermochromatium	genus
Chromatiaceae Thioalkalicoccus	Thioalkalicoccus	genus
Chromatiaceae Thiocapsa	Thiocapsa	genus
Chromatiaceae Thiococcus	Thiococcus	genus
Chromatiaceae Thiocystis	Thiocystis	genus
Chromatiaceae Thiodictyon	Thiodictyon	genus
Chromatiaceae Thioflavicoccus	Thioflavicoccus	genus
Chromatiaceae Thiohalocapsa	Thiohalocapsa	genus
Chromatiaceae Thiolamprovum	Thiolamprovum	genus
Chromatiaceae Thiopedia	Thiopedia	genus
Chromatiaceae Thiorhodococcus	Thiorhodococcus	genus
Chromatiaceae Thiorhodovibrio	Thiorhodovibrio	genus
Chromatiaceae Thiospirillum	Thiospirillum	genus
Chrysiogenetes Chrysiogenes	Chrysiogenes	genus
Chthoniobacteraceae Chthoniobacter	Chthoniobacter	genus
Clostridiaceae Alkaliphilus	Alkaliphilus	genus
Clostridiaceae Anoxynatronum	Anoxynatronum	genus
Clostridiaceae Caloramator	Caloramator	genus
Clostridiaceae Caloranaerobacter	Caloranaerobacter	genus
Clostridiaceae Caminicella	Caminicella	genus
Clostridiaceae Natronincola	Natronincola	genus
Clostridiaceae Sarcina	Sarcina	genus
Clostridiaceae Thermohalobacter	Thermohalobacter	genus
Clostridiaceae Tindallia	Tindallia	genus
Clostridiales Acidaminobacter	Acidaminobacter	genus
Clostridiales Anaerovirgula	Anaerovirgula	genus
Clostridiales Blautia	Blautia	genus
Clostridiales Fusibacter	Fusibacter	genus
Clostridiales Heliobacteriaceae	Heliobacteriaceae	family
Clostridiales Sedimentibacter	Sedimentibacter	genus
Clostridiales Sporanaerobacter	Sporanaerobacter	genus
Comamonadaceae Acidovorax	Acidovorax	genus
Comamonadaceae Aquabacterium	Aquabacterium	genus
Comamonadaceae Brachymonas	Brachymonas	genus
Coprothermobacteraceae Coprothermobacter	Coprothermobacter	genus
Coriobacteriaceae Collinsella	Collinsella	genus
Coriobacteriaceae Coriobacterium	Coriobacterium	genus
Coriobacteriales Atopobium	Atopobium	genus
Coriobacteriales Denitrobacterium	Denitrobacterium	genus
Coriobacteriales Olsenella	Olsenella	genus
Crenarchaeota Aeropyrum	Aeropyrum	genus
Crenarchaeota Desulfurococcales	Desulfurococcales	order
Crenarchaeota Pyrodictiaceae	Pyrodictiaceae	family
Crenarchaeota Thermocladium	Thermocladium	genus
Crenarchaeota Thermofilaceae	Thermofilaceae	family
Crenarchaeota Thermosphaera	Thermosphaera	genus
Crocinitomicaceae Crocinitomix	Crocinitomix	genus
Cryomorphaceae Cryomorpha	Cryomorpha	genus
Cryomorphaceae Owenweeksia	Owenweeksia	genus
Cryptosporangiaceae Cryptosporangium	Cryptosporangium	genus
Cryptosporangiaceae Fodinicola	Fodinicola	genus
Cyanobacteria Calothrix	Calothrix	genus
Cyanobacteria Cyanothece	Cyanothece	genus
Cyanobacteria Nostoc	Nostoc	genus
Cyanobacteria Trichodesmium	Trichodesmium	genus
Cyclobacteriaceae Algoriphagus	Algoriphagus	genus
Cyclobacteriaceae Aquiflexum	Aquiflexum	genus
Cyclobacteriaceae Belliella	Belliella	genus
Cyclobacteriaceae Echinicola	Echinicola	genus
Cyclobacteriaceae Reichenbachiella	Reichenbachiella	genus
Cystobacteraceae Cystobacter	Cystobacter	genus
Cytophagaceae Cytophaga	Cytophaga	genus
Cytophagaceae Meniscus	Meniscus	genus
Cytophagaceae Sporocytophaga	Sporocytophaga	genus
Cytophagales Cytophaga	Cytophaga	genus
Cytophagales Emticicia	Emticicia	genus
Cytophagales Flammeovirgaceae	Flammeovirgaceae	family
Cytophagales Persicobacter	Persicobacter	genus
Deferribacteraceae Deferribacter	Deferribacter	genus
Deferribacteraceae Flexistipes	Flexistipes	genus
Deltaproteobacteria Desulfarculales	Desulfarculales	order
Deltaproteobacteria Desulfobacteraceae	Desulfobacteraceae	family
Demequinaceae Demequina	Demequina	genus
Demequinaceae Lysinimicrobium	Lysinimicrobium	genus
Dermabacteraceae Brachybacterium	Brachybacterium	genus
Dermabacteraceae Dermabacter	Dermabacter	genus
Dermacoccaceae Dermacoccus	Dermacoccus	genus
Dermacoccaceae Kytococcus	Kytococcus	genus
Dermatophilaceae Dermatophilus	Dermatophilus	genus
Desulfarculaceae Desulfarculus	Desulfarculus	genus
Desulfarculales Desulfarculaceae	Desulfarculaceae	family
Desulfobacteraceae Desulfatirhabdium	Desulfatirhabdium	genus
Desulfobacteraceae Desulfatitalea	Desulfatitalea	genus
Desulfobacteraceae Desulfobacter	Desulfobacter	genus
Desulfobacteraceae Desulfobacterium	Desulfobacterium	genus
Desulfobacteraceae Desulfobotulus	Desulfobotulus	genus
Desulfobacteraceae Desulfoconvexum	Desulfoconvexum	genus
Desulfobacteraceae Desulfofaba	Desulfofaba	genus
Desulfobacteraceae Desulfofrigus	Desulfofrigus	genus
Desulfobacteraceae Desulfotignum	Desulfotignum	genus
Desulfobacterales Desulfobacteraceae	Desulfobacteraceae	family
Desulfobacterales Desulfobulbaceae	Desulfobulbaceae	family
Desulfobulbaceae Desulfobulbus	Desulfobulbus	genus
Desulfobulbaceae Desulfofustis	Desulfofustis	genus
Desulfobulbaceae Desulforhopalus	Desulforhopalus	genus
Desulfobulbaceae Desulfotalea	Desulfotalea	genus
Desulfohalobiaceae Desulfonatronovibrio	Desulfonatronovibrio	genus
Desulfomicrobiaceae Desulfomicrobium	Desulfomicrobium	genus
Desulfonatronaceae Desulfonatronum	Desulfonatronum	genus
Desulfovibrionaceae Bilophila	Bilophila	genus
Desulfovibrionaceae Desulfobaculum	Desulfobaculum	genus
Desulfovibrionaceae Desulfocurvus	Desulfocurvus	genus
Desulfovibrionaceae Desulfovibrio	Desulfovibrio	genus
Desulfovibrionales Desulfohalobiaceae	Desulfohalobiaceae	family
Desulfovibrionales Desulfonatronaceae	Desulfonatronaceae	family
Desulfovibrionales Desulfovibrio	Desulfovibrio	genus
Desulfurellales Desulfurellaceae	Desulfurellaceae	family
Desulfurobacteriaceae Desulfurobacterium	Desulfurobacterium	genus
Desulfurococcaceae Desulfurococcus	Desulfurococcus	genus
Desulfurococcaceae Staphylothermus	Staphylothermus	genus
Desulfurococcaceae Sulfophobococcus	Sulfophobococcus	genus
Desulfurococcaceae Thermosphaera	Thermosphaera	genus
Desulfurococcales Stetteria	Stetteria	genus
Desulfurococcales Thermodiscus	Thermodiscus	genus
Desulfuromonaceae Desulfuromonas	Desulfuromonas	genus
Desulfuromonaceae Pelobacter	Pelobacter	genus
Desulfuromonadaceae Desulfuromonas	Desulfuromonas	genus
Desulfuromonadaceae Desulfuromusa	Desulfuromusa	genus
Desulfuromonadaceae Malonomonas	Malonomonas	genus
Desulfuromonadaceae Pelobacter	Pelobacter	genus
Dictyoglomaceae Dictyoglomus	Dictyoglomus	genus
Dictyoglomi Dictyoglomus	Dictyoglomus	genus
Dietziaceae Dietzia	Dietzia	genus
Ectothiorhodospiraceae Ectothiorhodospira	Ectothiorhodospira	genus
Ectothiorhodospiraceae Thioalkalivibrio	Thioalkalivibrio	genus
Ectothiorhodospirales Ectothiorhodospiraceae	Ectothiorhodospiraceae	family
Enterobacteriales Arsenophonus	Arsenophonus	genus
Enterobacteriales Brenneria	Brenneria	genus
Enterobacteriales Buchnera	Buchnera	genus
Enterobacteriales Budvicia	Budvicia	genus
Enterobacteriales Buttiauxella	Buttiauxella	genus
Enterobacteriales Cedecea	Cedecea	genus
Enterobacteriales Citrobacter	Citrobacter	genus
Enterobacteriales Edwardsiella	Edwardsiella	genus
Enterobacteriales Enterobacter	Enterobacter	genus
Enterobacteriales Erwinia	Erwinia	genus
Enterobacteriales Escherichia	Escherichia	genus
Enterobacteriales Ewingella	Ewingella	genus
Enterobacteriales Hafnia	Hafnia	genus
Enterobacteriales Klebsiella	Klebsiella	genus
Enterobacteriales Kluyvera	Kluyvera	genus
Enterobacteriales Leclercia	Leclercia	genus
Enterobacteriales Leminorella	Leminorella	genus
Enterobacteriales Moellerella	Moellerella	genus
Enterobacteriales Morganella	Morganella	genus
Enterobacteriales Obesumbacterium	Obesumbacterium	genus
Enterobacteriales Pantoea	Pantoea	genus
Enterobacteriales Photorhabdus	Photorhabdus	genus
Enterobacteriales Plesiomonas	Plesiomonas	genus
Enterobacteriales Pragia	Pragia	genus
Enterobacteriales Proteus	Proteus	genus
Enterobacteriales Providencia	Providencia	genus
Enterobacteriales Rahnella	Rahnella	genus
Enterobacteriales Salmonella	Salmonella	genus
Enterobacteriales Serratia	Serratia	genus
Enterobacteriales Shigella	Shigella	genus
Enterobacteriales Tatumella	Tatumella	genus
Enterobacteriales Trabulsiella	Trabulsiella	genus
Enterobacteriales Xenorhabdus	Xenorhabdus	genus
Enterobacteriales Yersinia	Yersinia	genus
Enterobacteriales Yokenella	Yokenella	genus
Enterococcaceae Enterococcus	Enterococcus	genus
Enterococcaceae Tetragenococcus	Tetragenococcus	genus
Entomoplasmataceae Entomoplasma	Entomoplasma	genus
Entomoplasmataceae Mesoplasma	Mesoplasma	genus
Entomoplasmatales Entomoplasmataceae	Entomoplasmataceae	family
Erysipelotrichaceae Allobaculum	Allobaculum	genus
Erysipelotrichaceae Bulleidia	Bulleidia	genus
Erysipelotrichaceae Catenibacterium	Catenibacterium	genus
Erysipelotrichaceae Holdemania	Holdemania	genus
Erysipelotrichaceae Solobacterium	Solobacterium	genus
Erysipelotrichaceae Turicibacter	Turicibacter	genus
Eubacteriaceae Acetobacterium	Acetobacterium	genus
Eubacteriaceae Alkalibacter	Alkalibacter	genus
Eubacteriaceae Garciella	Garciella	genus
Eubacteriaceae Pseudoramibacter	Pseudoramibacter	genus
Euryarchaeota Haloarcula	Haloarcula	genus
Euryarchaeota Halobaculum	Halobaculum	genus
Euryarchaeota Halococcus	Halococcus	genus
Euryarchaeota Haloferax	Haloferax	genus
Euryarchaeota Halogeometricum	Halogeometricum	genus
Euryarchaeota Halorubrum	Halorubrum	genus
Euryarchaeota Methanococci	Methanococci	class
Euryarchaeota Methanosphaera	Methanosphaera	genus
Euryarchaeota Natronomonas	Natronomonas	genus
Euryarchaeota Natronorubrum	Natronorubrum	genus
Euzebyaceae Euzebya	Euzebya	genus
FIbrobacteraceae Fibrobacter	Fibrobacter	genus
Fibrobacteraceae Fibrobacter	Fibrobacter	genus
Firmicutes Acetoanaerobium	Acetoanaerobium	genus
Firmicutes Acidaminobacter	Acidaminobacter	genus
Firmicutes Anaerovorax	Anaerovorax	genus
Firmicutes Caldicellulosiruptor	Caldicellulosiruptor	genus
Firmicutes Fusibacter	Fusibacter	genus
Firmicutes Gemella	Gemella	genus
Firmicutes Mahella	Mahella	genus
Firmicutes Sedimentibacter	Sedimentibacter	genus
Firmicutes Sporanaerobacter	Sporanaerobacter	genus
Firmicutes Thermovenabulum	Thermovenabulum	genus
Flammeovirgaceae Flammeovirga	Flammeovirga	genus
Flammeovirgaceae Flexithrix	Flexithrix	genus
Flammeovirgaceae Marivirga	Marivirga	genus
Flavobacteriales Actibacter	Actibacter	genus
Flavobacteriales Aequorivita	Aequorivita	genus
Flavobacteriales Algibacter	Algibacter	genus
Flavobacteriales Aquimarina	Aquimarina	genus
Flavobacteriales Arenibacter	Arenibacter	genus
Flavobacteriales Bizionia	Bizionia	genus
Flavobacteriales Capnocytophaga	Capnocytophaga	genus
Flavobacteriales Cellulophaga	Cellulophaga	genus
Flavobacteriales Chryseobacterium	Chryseobacterium	genus
Flavobacteriales Cloacibacterium	Cloacibacterium	genus
Flavobacteriales Dokdonia	Dokdonia	genus
Flavobacteriales Elizabethkingia	Elizabethkingia	genus
Flavobacteriales Epilithonimonas	Epilithonimonas	genus
Flavobacteriales Flavobacterium	Flavobacterium	genus
Flavobacteriales Formosa	Formosa	genus
Flavobacteriales Gaetbulibacter	Gaetbulibacter	genus
Flavobacteriales Gillisia	Gillisia	genus
Flavobacteriales Gramella	Gramella	genus
Flavobacteriales Kordia	Kordia	genus
Flavobacteriales Leeuwenhoekiella	Leeuwenhoekiella	genus
Flavobacteriales Lutibacter	Lutibacter	genus
Flavobacteriales Maribacter	Maribacter	genus
Flavobacteriales Mariniflexile	Mariniflexile	genus
Flavobacteriales Mesonia	Mesonia	genus
Flavobacteriales Muricauda	Muricauda	genus
Flavobacteriales Myroides	Myroides	genus
Flavobacteriales Nonlabens	Nonlabens	genus
Flavobacteriales Olleya	Olleya	genus
Flavobacteriales Ornithobacterium	Ornithobacterium	genus
Flavobacteriales Polaribacter	Polaribacter	genus
Flavobacteriales Psychroflexus	Psychroflexus	genus
Flavobacteriales Psychroserpens	Psychroserpens	genus
Flavobacteriales Riemerella	Riemerella	genus
Flavobacteriales Robiginitalea	Robiginitalea	genus
Flavobacteriales Salegentibacter	Salegentibacter	genus
Flavobacteriales Sediminicola	Sediminicola	genus
Flavobacteriales Subsaxibacter	Subsaxibacter	genus
Flavobacteriales Subsaximicrobium	Subsaximicrobium	genus
Flavobacteriales Tenacibaculum	Tenacibaculum	genus
Flavobacteriales Ulvibacter	Ulvibacter	genus
Flavobacteriales Wautersiella	Wautersiella	genus
Flavobacteriales Weeksella	Weeksella	genus
Flavobacteriales Winogradskyella	Winogradskyella	genus
Flavobacteriales Yeosuana	Yeosuana	genus
Flavobacteriales Zhouia	Zhouia	genus
Flavobacteriales Zobellia	Zobellia	genus
Fusobacteriaceae Cetobacterium	Cetobacterium	genus
Fusobacteriaceae Fusobacterium	Fusobacterium	genus
Fusobacteriaceae Ilyobacter	Ilyobacter	genus
Fusobacteriaceae Propionigenium	Propionigenium	genus
Gallionellaceae Gallionella	Gallionella	genus
Gammaproteobacteria Alteromonadales	Alteromonadales	order
Gammaproteobacteria Arhodomonas	Arhodomonas	genus
Gammaproteobacteria Catenococcus	Catenococcus	genus
