microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes
chlE	K04035	1.14.13.81	NA	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]	NA
bciB	K21231	1.3.7.13	NA	3,8-divinyl protochlorophyllide a 8-vinyl-reductase (ferredoxin) [EC:1.3.7.13]	NA
bchJ	K04036	1.-.-.-	NA	divinyl protochlorophyllide a 8-vinyl-reductase [EC:1.-.-.-]	NA
por	K03737	1.2.7.1;1.2.7.-	NA	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] 	NA
chlL	K04037	1.3.7.7	NA	light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]	NA
bciC	K21058	3.1.1.100	NA	chlorophyllide a hydrolase [EC:3.1.1.100]	NA
bchX	K11333	1.3.7.14;1.3.7.15	NA	3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15] 	NA
bchF	K11336	4.2.1.165	NA	3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165]	NA
bchV	K13603	4.2.1.169	NA	3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.169]	NA
bchC	K11337	1.1.1.396	NA	bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396]	NA
bchU	K13604	2.1.1.333	NA	bacteriochlorophyllide d C-20 methyltransferase [EC:2.1.1.333]	NA
bchK	K13605	2.5.1.-	NA	bacteriochlorophyll c synthase	NA
bciD	K21312	1.17.98.2	NA	bacteriochlorophyllide c C-7(1)-hydroxylase [EC:1.17.98.2]	NA
bchG	K04040	2.5.1.62;2.5.1.133	NA	chlorophyll/bacteriochlorophyll a synthase	NA
bchP	K10960	1.3.1.83;1.3.1.111	NA	geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]	NA
crtB	K02291	2.5.1.32	NA	15-cis-phytoene synthase [EC:2.5.1.32] 	NA
crtI	K10027	1.3.99.26;1.3.99.28;1.3.99.29;1.3.99.31	NA	phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31] 	NA
crtP	K02293	1.3.5.5	NA	15-cis-phytoene desaturase [EC:1.3.5.5] 	NA
crtQ	K00514	1.3.5.6	NA	zeta-carotene desaturase [EC:1.3.5.6] 	NA
crtC	K09844	4.2.1.131	NA	carotenoid 1,2-hydratase [EC:4.2.1.131] 	NA
crtD	K09845	1.3.99.27	NA	1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27] 	NA
crtF	K09846	2.1.1.210	NA	demethylspheroidene O-methyltransferase [EC:2.1.1.210] 	NA
crtA	K09847	1.14.15.9	NA	spheroidene monooxygenase [EC:1.14.15.9] 	NA
crtY	K22502	5.5.1.19	NA	lycopene beta-cyclase [EC:5.5.1.19]	NA
crtL1	K06443	5.5.1.19	NA	lycopene beta-cyclase [EC:5.5.1.19] 	NA
cruA	K14605	5.5.1.19	NA	lycopene cyclase CruA [EC:5.5.1.19] 	NA
crtU	K09879	1.3.99.39;1.3.99.40	NA	carotenoid phi-ring synthase / carotenoid chi-ring synthase [EC:1.3.99.39 1.3.99.40] 	NA
crtM	K10208	2.5.1.96	NA	4,4'-diapophytoene synthase [EC:2.5.1.96] 	NA
crtN	K10209	1.3.8.2	NA	4,4'-diapophytoene desaturase [EC:1.3.8.2] 	NA
ggt	K00681	2.3.2.2;3.4.19.13	NA	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	Threonine peptidases_Family T3: gamma-glutamyltransferase family;T3
pepA_M17	K01255	3.4.11.1	NA	CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]	Metallo peptidases_Family M17: leucyl aminopeptidase family;M17
pepA_M42	K01261	3.4.11.7	NA	pepA; glutamyl aminopeptidase [EC:3.4.11.7]	Metallo peptidases_Family M42: glutamyl aminopeptidase family;M42
pepN	K01256	3.4.11.2	NA	pepN; aminopeptidase N [EC:3.4.11.2]	Metallo peptidases_Family M1;M1
pepT	K01258	3.4.11.4	NA	pepT; tripeptide aminopeptidase [EC:3.4.11.4]	Metallo peptidases_Family M20;M20
pip	K01259	3.4.11.5   	NA	pip; proline iminopeptidase [EC:3.4.11.5]   	Serine peptidases_Family S33;S33
pepP	K01262	3.4.11.9	NA	pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9]	Metallo peptidases_Family M24;M24
map	K01265	3.4.11.18	NA	map; methionyl aminopeptidase [EC:3.4.11.18]	Metallo peptidases_Family M24;M24
dmpA	K01266	3.4.11.19	NA	dmpA, dap; D-aminopeptidase [EC:3.4.11.19]	Mixed peptidases_Family P1: DmpA aminopeptidase family;P1
pepD_M20	K01270	3.4.13.-	NA	pepD; dipeptidase D [EC:3.4.13.-]	Metallo peptidases_Family M20;M20
pepD_S1	K08372	3.4.21.-	NA	pepD; putative serine protease PepD [EC:3.4.21.-]	Serine peptidases_Family S1: chymotrypsin family;S1
pepQ	K01271	3.4.13.9	NA	pepQ; Xaa-Pro dipeptidase [EC:3.4.13.9]	Metallo peptidases_Family M24;M24
pepX	K01281	3.4.14.11   	NA	pepX; X-Pro dipeptidyl-peptidase [EC:3.4.14.11]   	Serine peptidases_Family S15;S15
dcp	K01284	3.4.15.5	NA	dcp; peptidyl-dipeptidase Dcp [EC:3.4.15.5]	Metallo peptidases_Family M3;M3
cpg	K01295	3.4.17.11	NA	cpg; glutamate carboxypeptidase [EC:3.4.17.11]	Metallo peptidases_Family M20;M20
ldcA	K01297	3.4.17.13   	NA	ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]   	Serine peptidases_Family S66;S66
E3.4.17.19	K01299	3.4.17.19	NA	E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]	Metallo peptidases_Family M32: carboxypeptidase Taq family;M32
pcp	K01304	3.4.19.3	NA	pcp; pyroglutamyl-peptidase [EC:3.4.19.3]	Cysteine peptidases_Family C15: pyroglutamyl peptidase I family;C15
iadA	K01305	3.4.19.-	NA	iadA; beta-aspartyl-dipeptidase (metallo-type) [EC:3.4.19.-]	Metallo peptidases_Family M38: beta-aspartyl dipeptidase family;M38
yqgT	K01308	3.4.19.11	NA	yqgT; g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11]	Metallo peptidases_Family M14: carboxypeptidase A family;M14
sspA	K01318	3.4.21.19	NA	sspA; glutamyl endopeptidase [EC:3.4.21.19]	Serine peptidases_Family S1: chymotrypsin family;S1
E3.4.21.50	K01337	3.4.21.50	NA	E3.4.21.50; lysyl endopeptidase [EC:3.4.21.50]	Serine peptidases_Family S1: chymotrypsin family;S1
lon	K01338	3.4.21.53	NA	ATP-dependent Lon protease [EC:3.4.21.53]	Serine peptidases_Family S16: lon protease family;S16
iga_hap	K01347	3.4.21.72   	NA	iga; IgA-specific serine endopeptidase [EC:3.4.21.72]   	Serine peptidases_Family S6;S6
iga_zmpA	K01390	3.4.24.13	NA	iga; IgA-specific metalloendopeptidase [EC:3.4.24.13]	Metallo peptidases_Family M26;M26
ptrB	K01354	3.4.21.83	NA	ptrB; oligopeptidase B [EC:3.4.21.83]	Serine peptidases_Family S9: prolyl oligopeptidase family;S9
clpP	K01358	3.4.21.92  	NA	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]  	Serine peptidases_Family S14: ClpP endopeptidase family;S14
ptrA	K01407	3.4.24.55	NA	ptrA; protease III [EC:3.4.24.55]	Metallo peptidases_Family M16: pitrilysin family;M16
prlC	K01414	3.4.24.70	NA	prlC; oligopeptidase A [EC:3.4.24.70]	Metallo peptidases_Family M3;M3
hslV	K01419	3.4.25.2	NA	hslV, clpQ; ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]	Threonine peptidases_Family T1: proteasome family;T1
bepA	K01423	3.4.-.-   	NA	bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]   	Metallo peptidases_Family M48: Ste24 endopeptidase family;M48
cpaA	K02278	3.4.23.43	NA	cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]	Aspartic peptidases_Family A24: type IV prepilin peptidase family;A24
hofD	K02506	3.4.23.43	NA	hofD, hopD; leader peptidase HopD [EC:3.4.23.43]	Aspartic peptidases_Family A24: type IV prepilin peptidase family;A24
pilD	K02654	3.4.23.43;2.1.1.-	NA	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	Aspartic peptidases_Family A24: type IV prepilin peptidase family;A24
lepB	K03100	3.4.21.89	NA	lepB; signal peptidase I [EC:3.4.21.89]	Serine peptidases_Family S26: signal peptidase I family;S26
lspA	K03101	3.4.23.36	NA	lspA; signal peptidase II [EC:3.4.23.36]	Aspartic peptidases_Family A8: signal peptidase II family;A8
psmA	K03432	3.4.25.1	NA	psmA, prcA; proteasome alpha subunit [EC:3.4.25.1]	Threonine peptidases_Family T1: proteasome family;T1
psmB	K03433	3.4.25.1	NA	psmB, prcB; proteasome beta subunit [EC:3.4.25.1]	Threonine peptidases_Family T1: proteasome family;T1
hyaD	K03605	3.4.23.-	NA	hyaD, hybD; hydrogenase maturation protease [EC:3.4.23.-]	Aspartic peptidases_Family A31: HybD endopeptidase family;A31
prc	K03797	3.4.21.102	NA	E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]	Serine peptidases_Family S41: C-terminal processing peptidase family;S41
hflB	K03798	3.4.24.-	NA	ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]	Metallo peptidases_Family M41: FtsH endopeptidase family;M41
lonB	K04076	3.4.21.53	NA	ATP-dependent Lon protease [EC:3.4.21.53]	Serine peptidases_Family S16: lon protease family;S16
hhoB	K04691	3.4.21.-	NA	hhoB, degS; serine protease DegS [EC:3.4.21.-]	Serine peptidases_Family S1: chymotrypsin family;S1
lonH	K04770	3.4.21.-	NA	Lon-like ATP-dependent protease [EC:3.4.21.-]	Serine peptidases_Family S16: lon protease family;S16
degP	K04771	3.4.21.107	NA	degP, htrA; serine protease Do [EC:3.4.21.107]	Serine peptidases_Family S1: chymotrypsin family;S1
degQ	K04772	3.4.21.-	NA	degQ, hhoA; serine protease DegQ [EC:3.4.21.-]	Serine peptidases_Family S1: chymotrypsin family;S1
sppA	K04773	3.4.21.-	NA	sppA; protease IV [EC:3.4.21.-]	Serine peptidases_Family S49: protease IV family;S49
sohB	K04774	3.4.21.- 	NA	sohB; serine protease SohB [EC:3.4.21.-] 	Serine peptidases_Family S49: protease IV family;S49
ydgD	K04775	3.4.21.-	NA	ydgD; protease YdgD [EC:3.4.21.-]	Serine peptidases_Family S1: chymotrypsin family;S1
pfpI	K05520	3.5.1.124	NA	pfpI; protease I [EC:3.5.1.124]	Cysteine peptidases_Family C56: PfpI endopeptidase family;C56
E3.4.11.10	K05994	3.4.11.10	NA	E3.4.11.10; bacterial leucyl aminopeptidase [EC:3.4.11.10]	Metallo peptidases_Family M28: aminopeptidase Y family;M28
pepE	K05995	3.4.13.21	NA	pepE; dipeptidase E [EC:3.4.13.21]	Serine peptidases_Family S51;S51
cpt	K05996	3.4.17.18	NA	cpt; carboxypeptidase T [EC:3.4.17.18]	Metallo peptidases_Family M14: carboxypeptidase A family;M14
gpr	K06012	3.4.24.78	NA	gpr; spore protease [EC:3.4.24.78]	Aspartic peptidases_Family A25: gpr protease family;A25
spoIIGA	K06383	3.4.23.-	NA	spoIIGA; stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]	Aspartic peptidases_Family A36;A36
preP	K06972	3.4.24.-	NA	PITRM1, PreP, CYM1; presequence protease [EC:3.4.24.-]	Metallo peptidases_Family M16: pitrilysin family;M16
dacC	K07258	3.4.16.4	NA	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	Serine peptidases_Family S11: D-Ala-D-Ala carboxypeptidase A family;S11
dacB	K07259	3.4.16.4;3.4.21.-   	NA	dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]   	Serine peptidases_Family S13: D-Ala-D-Ala peptidase C family;S13
vanY	K07260	3.4.17.14	NA	vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	Metallo peptidases_Family M15: zinc D-Ala-D-Ala carboxypeptidase family;M15
mepA	K07261	3.4.24.-   	NA	mepA; penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]   	Metallo peptidases_Family M74;M74
pbpG	K07262	3.4.21.-   	NA	pbpG; serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]   	Serine peptidases_Family S11: D-Ala-D-Ala carboxypeptidase A family;S11
pqqL	K07263	3.4.24.-	NA	pqqL; zinc protease [EC:3.4.24.-]	Metallo peptidases_Family M16: pitrilysin family;M16
pepO	K07386	3.4.24.-	NA	pepO; putative endopeptidase [EC:3.4.24.-]	Metallo peptidases_Family M13: neprilysin family;M13
loiP	K07387	3.4.24.-	NA	metalloprotease [EC:3.4.24.-]	Metallo peptidases_Family M48: Ste24 endopeptidase family;M48
pepB	K07751	3.4.11.23	NA	pepB; PepB aminopeptidase [EC:3.4.11.23]	Metallo peptidases_Family M17: leucyl aminopeptidase family;M17
flaK	K07991	3.4.23.52	NA	flaK; archaeal preflagellin peptidase FlaK [EC:3.4.23.52]	Aspartic peptidases_Family A24: type IV prepilin peptidase family;A24
prtC_M10	K01406	3.4.24.40	NA	serralysin [EC:3.4.24.40]	Metallo peptidases_Family M10;M10
prtC_U32	K08303	3.4.-.-	NA	prtC, trhP; U32 family peptidase [EC:3.4.-.-]	Peptidases of unknown catalytic type_Family U32;U32
hycI	K08315	3.4.23.51	NA	hycI; hydrogenase 3 maturation protease [EC:3.4.23.51]	Aspartic peptidases_Family A31: HybD endopeptidase family;A31
ypdF	K08326	3.4.11.-	NA	ypdF; aminopeptidase [EC:3.4.11.-]	Metallo peptidases_Family M24;M24
pgtE	K08477	3.4.21.-	NA	pgtE; outer membrane protease E [EC:3.4.21.-]	Aspartic peptidases_Family A26: omptin family;A26
tpr	K08586	3.4.22.-	NA	tpr; thiol protease [EC:3.4.22.-]	Cysteine peptidases_Family C2: calpain family;C2
yopJ	K08598	NA	NA	yopJ; YopJ protease family   	Cysteine peptidases_Family C55: YopJ protease family;C55
yopT	K08599	3.4.22.-	NA	yopT; YopT peptidase [EC:3.4.22.-]	Cysteine peptidases_Family C58;C58
pepF	K08602	3.4.24.-   	NA	pepF, pepB; oligoendopeptidase F [EC:3.4.24.-]   	Metallo peptidases_Family M3;M3
E3.4.17.14	K08640	3.4.17.14	NA	E3.4.17.14; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	Metallo peptidases_Family M15: zinc D-Ala-D-Ala carboxypeptidase family;M15
vanX	K08641	3.4.13.22	NA	vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	Metallo peptidases_Family M15: zinc D-Ala-D-Ala carboxypeptidase family;M15
lasA	K08642	3.4.24.-	NA	lasA; LasA protease [EC:3.4.24.-]	Metallo peptidases_Family M23;M23
lef	K08645	3.4.24.83	NA	lef; anthrax lethal toxin endopeptidase [EC:3.4.24.83]	Metallo peptidases_Family M34: anthrax lethal factor family;M34
scpA	K08652	3.4.21.110	NA	C5AP, scpA, scpB; C5a peptidase [EC:3.4.21.110]	Serine peptidases_Family S8: subtilisin family;S8
pepDA	K08659	3.4.-.-   	NA	pepDA, pepDB; dipeptidase [EC:3.4.-.-]   	Cysteine peptidases_Family C69;C69
tri	K08676	3.4.21.-   	NA	tri; tricorn protease [EC:3.4.21.-]   	Serine peptidases_Family S41: C-terminal processing peptidase family;S41
nprB	K08777	3.4.24.-	NA	nprB; neutral peptidase B [EC:3.4.24.-]	Metallo peptidases_Family M4: thermolysin family;M4
mtfA	K09933	NA	NA	mtfA; MtfA peptidase	Metallo peptidases_Family M90;M90
rseP	K11749	3.4.24.-	NA	rseP; regulator of sigma E protease [EC:3.4.24.-]	Metallo peptidases_Family M50: S2P protease family;M50
cps	K13048	3.4.17.-	NA	cps; carboxypeptidase Ss1 [EC:3.4.17.-]	Metallo peptidases_Family M20;M20
iaaA	K13051	3.5.1.1 3.4.19.5	NA	ASRGL1, iaaA; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]	Threonine peptidases_Family T2;T2
wprA	K13274	3.4.21.-	NA	wprA; cell wall-associated protease [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
isp	K13275	3.4.21.-	NA	isp; major intracellular serine protease [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
bpr	K13276	3.4.21.-	NA	bpr; bacillopeptidase F [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
epr	K13277	3.4.21.-	NA	epr; minor extracellular protease Epr [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
sipW	K13280	3.4.21.89   	NA	SEC11, sipW; signal peptidase I [EC:3.4.21.89]   	Serine peptidases_Family S26: signal peptidase I family;S26
avrRpt2	K13439	3.4.22.-   	NA	avrRpt2; cysteine protease avirulence protein AvrRpt2 [EC:3.4.22.-]   	Cysteine peptidases_Family C70;C70
avrPphB	K13440	3.4.22.-  	NA	avrPphB; cysteine protease avirulence protein AvrPphB [EC:3.4.22.-]  	Cysteine peptidases_Family C58;C58
icsP	K13520	3.4.23.-	NA	icsP, sopA; outer membrane protease [EC:3.4.23.-]	Aspartic peptidases_Family A26: omptin family;A26
mepS	K13694	3.4.-.- 3.4.17.13	NA	mepS, spr; murein DD-endopeptidase / murein LD-carboxypeptidase [EC:3.4.-.- 3.4.17.13]	Cysteine peptidases_Family C40;C40
trf2_3	K13722	3.4.11.-	NA	trf2_3; tricorn protease interacting factor F2/3 [EC:3.4.11.-]	Metallo peptidases_Family M1;M1
aprE1	K01342	3.4.21.62	NA	subtilisin [EC:3.4.21.62]	Serine peptidases_Family S8: subtilisin family;S8
aprE2	K14645	3.4.21.-	NA	K14645; serine protease [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
vpr	K14647	3.4.21.-	NA	vpr; minor extracellular serine protease Vpr [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
dppA	K16203	3.4.11.-	3.A.1.5.2_P26902	D-amino peptidase [EC:3.4.11.-]	Metallo peptidases_Family M55: DppA aminopeptidase family;M55
erfK	K16291	NA	NA	erfK; L,D-transpeptidase ErfK/SrfK	Cysteine peptidases_Family C82;C82
yydH	K16922	NA	NA	yydH; putative peptide zinc metalloprotease protein   	Metallo peptidases_Family M50: S2P protease family;M50
cwlK	K17733	3.4.-.-	NA	cwlK; peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]	Metallo peptidases_Family M15: zinc D-Ala-D-Ala carboxypeptidase family;M15
aprX	K17734	3.4.21.-	NA	aprX; serine protease AprX [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
frvX	K18530	3.4.11.-	NA	frvX; putative aminopeptidase FrvX [EC:3.4.11.-]	Metallo peptidases_Family M42: glutamyl aminopeptidase family;M42
sprE	K18548	3.4.21.82	NA	sprE; glutamyl endopeptidase II [EC:3.4.21.82]	Serine peptidases_Family S1: chymotrypsin family;S1
ptpA	K18574	3.4.14.12  	NA	ptpA; Xaa-Xaa-Pro tripeptidyl-peptidase [EC:3.4.14.12]  	Serine peptidases_Family S9: prolyl oligopeptidase family;S9
vanXY	K18866	3.4.13.22 3.4.17.14	NA	vanXY; zinc D-Ala-D-Ala dipeptidase/carboxypeptidase [EC:3.4.13.22 3.4.17.14]	Metallo peptidases_Family M15: zinc D-Ala-D-Ala carboxypeptidase family;M15
ampH	K18988	3.4.16.4 3.4.21.-	NA	ampH; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase [EC:3.4.16.4 3.4.21.-]	Serine peptidases_Family S12: D-Ala-D-Ala carboxypeptidase B family;S12
cwlS	K19220	3.4.-.-	NA	cwlS; peptidoglycan DL-endopeptidase CwlS [EC:3.4.-.-]	Cysteine peptidases_Family C40;C40
lytF	K19223	3.4.-.-	NA	lytF, cwlE; peptidoglycan DL-endopeptidase LytF [EC:3.4.-.-]	Cysteine peptidases_Family C40;C40
lytE	K19224	3.4.-.-	NA	lytE, cwlF; peptidoglycan DL-endopeptidase LytE [EC:3.4.-.-]	Cysteine peptidases_Family C40;C40
gluP	K19225	3.4.21.105   	NA	gluP; rhomboid protease GluP [EC:3.4.21.105]   	Serine peptidases_Family S54: Rhomboid family;S54
ynhG	K19234	NA	NA	ynhG; L,D-transpeptidase YnhG	Cysteine peptidases_Family C82;C82
ybiS	K19235	NA	NA	ybiS; L,D-transpeptidase YbiS	Cysteine peptidases_Family C82;C82
ycfS	K19236	NA	NA	ycfS; L,D-transpeptidase YcfS	Cysteine peptidases_Family C82;C82
mepH	K19303	3.4.-.-	NA	mepH; murein DD-endopeptidase [EC:3.4.-.-]	Cysteine peptidases_Family C40;C40
mepM	K19304	3.4.24.-	NA	mepM; murein DD-endopeptidase [EC:3.4.24.-]	Metallo peptidases_Family M23;M23
mpl	K19351	3.4.24.-	NA	mpl; zinc metalloproteinase [EC:3.4.24.-]	Metallo peptidases_Family M4: thermolysin family;M4
ampS	K19689	3.4.11.-	NA	ampS, pepS, ampT; aminopeptidase [EC:3.4.11.-]	Metallo peptidases_Family M29: aminopeptidase T family;M29
ywaD	K19701	3.4.11.6;3.4.11.10	NA	ywaD; aminopeptidase YwaD [EC:3.4.11.6 3.4.11.10]	Metallo peptidases_Family M28: aminopeptidase Y family;M28
E3.4.11.24	K19702	3.4.11.24	NA	E3.4.11.24; aminopeptidase S [EC:3.4.11.24]	Metallo peptidases_Family M28: aminopeptidase Y family;M28
zmp1	K20109	3.4.24.89	NA	zmp1; Pro-Pro endopeptidase [EC:3.4.24.89]	Metallo peptidases_Family M34: anthrax lethal factor family;M34
alpha-LP	K20136	3.4.21.12  	NA	alpha-LP; alpha-lytic endopeptidase [EC:3.4.21.12]  	Serine peptidases_Family S1: chymotrypsin family;S1
zmpA	K20273	NA	NA	zmpA; zinc metalloprotease ZmpA	Metallo peptidases_Family M4: thermolysin family;M4
zmpB_M26	K08643	3.4.24.-	NA	zmpB; zinc metalloprotease ZmpB [EC:3.4.24.-]	Metallo peptidases_Family M26;M26
zmpB_M4	K20274	NA	NA	zmpB; zinc metalloprotease ZmpB  	Metallo peptidases_Family M4: thermolysin family;M4
nisP	K20486	3.4.21.-	NA	nisP, epiP; lantibiotic leader peptide-processing serine protease [EC:3.4.21.-]	Serine peptidases_Family S8: subtilisin family;S8
tet	K20608	3.4.11.-	NA	tet; tetrahedral aminopeptidase [EC:3.4.11.-]	Metallo peptidases_Family M42: glutamyl aminopeptidase family;M42
sgcX	K20609	3.4.11.-	NA	sgcX; putative aminopeptidase [EC:3.4.11.-]	Metallo peptidases_Family M42: glutamyl aminopeptidase family;M42
ykfC	K20742	3.4.14.13	NA	ykfC; gamma-D-glutamyl-L-lysine dipeptidyl-peptidase [EC:3.4.14.13]	Cysteine peptidases_Family C40;C40
E3.4.24.32	K20749	3.4.24.32	NA	E3.4.24.32; beta-lytic metalloendopeptidase [EC:3.4.24.32]	Metallo peptidases_Family M23;M23
bapA	K20750	3.4.11.25	NA	bapA; beta-peptidyl aminopeptidase [EC:3.4.11.25]	Mixed peptidases_Family P1: DmpA aminopeptidase family;P1
E3.4.21.121	K20755	3.4.21.121	NA	E3.4.21.121; Lys-Lys/Arg-Xaa endopeptidase [EC:3.4.21.121]	Serine peptidases_Family S8: subtilisin family;S8
impA	K21429	NA	NA	impA; immunomodulating metalloprotease   	Metallo peptidases_Family M88;M88
pbp4b	K21469	3.4.16.4   	NA	pbp4b; serine-type D-Ala-D-Ala carboxypeptidase [EC:3.4.16.4]   	Serine peptidases_Family S12: D-Ala-D-Ala carboxypeptidase B family;S12
ycbB	K21470	NA	NA	ycbB; L,D-transpeptidase YcbB	Cysteine peptidases_Family C82;C82
cwlO	K21471	3.4.-.-	NA	cwlO; peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	Cysteine peptidases_Family C40;C40
lytH	K21472	3.4.-.-	NA	lytH; peptidoglycan LD-endopeptidase LytH [EC:3.4.-.-]	Metallo peptidases_Family M23;M23
ripA	K21473	3.4.-.-	NA	ripA; peptidoglycan DL-endopeptidase RipA [EC:3.4.-.-]	Cysteine peptidases_Family C40;C40
ripB	K21474	3.4.-.-	NA	ripB; peptidoglycan DL-endopeptidase RipB [EC:3.4.-.-]	Cysteine peptidases_Family C40;C40
hpxW	K22602	3.5.1.126	NA	hpxW; oxamate amidohydrolase [EC:3.5.1.126]	Threonine peptidases_Family T3: gamma-glutamyltransferase family;T3
E3.4.24.33	K23743	3.4.24.33   	NA	E3.4.24.33; peptidyl-Asp metalloendopeptidase [EC:3.4.24.33]   	Metallo peptidases_Family M72;M72
pipA	K23941	NA	NA	pipA, gogA, gtgA; PipA/GogA/GtgA family effector protease   	Metallo peptidases_Family M85;M85
tpdA	K23980	3.4.13.23  	NA	tpdA; cysteinylglycine-S-conjugate dipeptidase [EC:3.4.13.23]  	Metallo peptidases_Family M20;M20
prsW	K24131	3.4.-.-   	NA	prsW; protease PrsW [EC:3.4.-.-]   	Metallo peptidases_Family M82;M82
patG	K24454	1.3.3.16;3.4.-.-  	NA	patG; thiazoline dehydrogenase / protease [EC:1.3.3.16 3.4.-.-]  	Serine peptidases_Family S8: subtilisin family;S8
sat	K00958	2.7.7.4	NA	sulfate adenylyltransferase [EC:2.7.7.4] 	NA
aprA	K00394	1.8.99.2	NA	adenylylsulfate reductase, subunit A [EC:1.8.99.2] 	NA
aprB	K00395	1.8.99.2	NA	adenylylsulfate reductase, subunit B [EC:1.8.99.2] 	NA
dsrA	K11180	1.8.99.5	NA	dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5] 	NA
dsrB	K11181	1.8.99.5	NA	dissimilatory sulfite reductase beta subunit [EC:1.8.99.5] 	NA
dsrE	K07235	2.8.1.-	NA	tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]	NA
dsrF	K07236	NA	NA	tRNA 2-thiouridine synthesizing protein C	NA
dsrH	K07237	NA	NA	tusB, dsrH; tRNA 2-thiouridine synthesizing protein B	NA
asrA	K16950	NA	NA	anaerobic sulfite reductase subunit A 	NA
asrB	K16951	NA	NA	anaerobic sulfite reductase subunit B 	NA
asrC	K00385	NA	NA	anaerobic sulfite reductase subunit C 	NA
dsrD	NA	NA	NA	dissimilatory sulfite reductase D	NA
mccA	NA	NA	NA	sulfite reductase octaheme cytochrome c SirA	NA
sreA	K17219	1.12.98.4	NA	sulfur reductase molybdopterin subunit 	NA
sreB	K17220	NA	NA	sulfur reductase FeS subunit 	NA
sreC	K17221	NA	NA	sulfur reductase membrane anchor 	NA
hydG	K17995	1.12.98.4	NA	sulfhydrogenase subunit gamma (sulfur reductase) [EC:1.12.98.4]	NA
hydB_4	K05922	1.12.5.1	NA	quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1]	NA
sorA	K05301	1.8.2.1	NA	sulfite dehydrogenase [EC:1.8.2.1] 	NA
sorB	K00386	1.8.2.1	NA	sulfite dehydrogenase (cytochrome) subunit B [EC:1.8.2.1]	NA
soeA	K21307	1.8.5.6	NA	sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6] 	NA
soeB	K21308	NA	NA	sulfite dehydrogenase (quinone) subunit SoeB 	NA
